_id,module,name,desctibe
MM00000001,MM,MM01,创建物料
MM00000002,MM,MM02,更改物料
MM00000003,MM,MM03,显示物料
MM00000004,MM,MM04,显示物料改变凭证
MM00000005,MM,MM06,标记待删除物料
MM00000006,MM,MM17,大量维护
MM00000007,MM,MM60,物料清单
MM00000008,MM,MMAM,改变物料类型
MM00000009,MM,MMSC,汇总条目，库存地点
MM00000010,MM,CS01,创建BOM
MM00000011,MM,CS02,更改BOM
MM00000012,MM,CS03,显示BOM
MM00000013,MM,CS11,显示BOM-逐层
MM00000014,MM,CS12,显示BOM-多层
MM00000015,MM,CS13,显示BOM-汇总
MM00000016,MM,CS15,反查BOM物料
MM00000017,MM,CS14,BOM对比
MM00000018,MM,CS20,批量修改BOM
MM00000019,MM,C223,创建、修改、显示生产版本
MM00000020,MM,C201,创建主配方（工艺路线）
MM00000021,MM,C202,修改主配方（工艺路线）
MM00000022,MM,C203,显示主配方（工艺路线）
MM00000023,MM,CRC1,创建资源（工作中心）
MM00000024,MM,CRC2,修改资源（工作中心）
MM00000025,MM,CRC3,显示资源（工作中心）
MM00000026,MM,CC01,创建更改主记录
MM00000027,MM,CC02,更改变更主档
MM00000028,MM,CC03,显示变更主档
MM00000029,MM,CC07,工程更改管理信息
MM00000030,MM,CEWB,工程工作台
MM00000031,MM,CCUNDO,撤销更改
MM00000032,MM,MF50,月生产计划排成程序
MM00000033,MM,MD01,运行MRP计划-全工厂
MM00000034,MM,MD02,运行MRP计划-单个物料，多层
MM00000035,MM,MD03,运行MRP计划-单个物料，单层
MM00000036,MM,MD04,查看MRP结果
MM00000037,MM,MD07,集中显示MRP结果
MM00000038,MM,MD11,创建计划订单
MM00000039,MM,MD12,改变计划订单
MM00000040,MM,MD13,显示计划订单
MM00000041,MM,MD14,计划订单的个别显示
MM00000042,MM,MD15,计划订单的集中转换
MM00000043,MM,MD16,计划订单的集中显示
MM00000044,MM,ME54N,单个审批采购申请
MM00000045,MM,ME55,集中处理采购申请
MM00000046,MM,ME51N,创建采购申请
MM00000047,MM,ME52N,修改采购申请
MM00000048,MM,ME5A,批量显示采购申请
MM00000049,MM,ME53N,显示采购申请
MM00000050,MM,COR1,创建生产工单
MM00000051,MM,COR2,修改生产工单
MM00000052,MM,COR3,显示生产工单
MM00000053,MM,COR8,集中转换生产工单
MM00000054,MM,COOISPI,生产工单信息系统
MM00000055,MM,COHVPI,批量处理生产工单
MM00000056,MM,MB31,工单收货
MM00000057,MM,MB1C,其他收货
MM00000058,MM,MB1A,工单发料
MM00000059,MM,MB21,创建预留
MM00000060,MM,MB22,修改预留
MM00000061,MM,COR6N,工单报工
MM00000062,MM,CORS,取消工单报工
MM00000063,MM,CORT,查看工单报工情况
MM00000064,MM,MMBE,产看库存总览
MM00000065,MM,CO09,可用性总览
MM00000066,MM,MB51,货物移动清单
MM00000067,MM,MB52,查询所有库存
MM00000068,MM,MC.9,库存分析
MM00000069,MM,MM50,扩充物料视图
MM00000070,MM,XK01,供应商主数据创建
MM00000071,MM,XK02,供应商主数据修改
MM00000072,MM,XK03,供应商主数据显示
MM00000073,MM,XK06,供应商删除标记
MM00000074,MM,XK04,供应商更改记录显示
MM00000075,MM,MKVZ,供应商明细清单
MM00000076,MM,XK99,批量维护
MM00000077,MM,ME11,信息记录创建
MM00000078,MM,ME12,信息记录更改
MM00000079,MM,ME13,信息记录显示
MM00000080,MM,ME14,信息记录更改记录
MM00000081,MM,ME15,信息记录删除标记
MM00000082,MM,ME01,货源清单维护
MM00000083,MM,ME03,货源清单显示
MM00000084,MM,ME04,货源清单更改记录
MM00000085,MM,MEK1,采购条件价格创建
MM00000086,MM,MEK2,采购条件价格修改
MM00000087,MM,MEK3,采购条件价格显示
MM00000088,MM,MEQ1,采购配额
