_id,module,name,desctibe
FICO00000001,FICO,FSP0,总账科目-科目表
FICO00000002,FICO,FSS0,总账科目-公司代码
FICO00000003,FICO,FS00,总账科目-集中
FICO00000004,FICO,FI01,创建银行主数据
FICO00000005,FICO,BP,客户与供应创建，修改与查询
FICO00000006,FICO,F-02,凭证录入-一般
FICO00000007,FICO,FB03,凭证显示
FICO00000008,FICO,FB08,凭证冲销
FICO00000009,FICO,FBRA ,冲销清帐凭证
FICO00000010,FICO,IDCNDOC,会计凭证批量查询
FICO00000011,FICO,FAGLL03,总账明细
FICO00000012,FICO,FBL1N,应付明细
FICO00000013,FICO,FBL5N,应收明细
FICO00000014,FICO,FAGLB03,总账余额
FICO00000015,FICO,FK10N,应付余额
FICO00000016,FICO,FD10N,应收余额
FICO00000017,FICO,IDCNACCTBLN,科目余额
FICO00000018,FICO,ME80FN,批量查询采购订单
FICO00000019,FICO,ME23N,显示单个采购订单
FICO00000020,FICO,ME2L,按供应商显示采购订单
FICO00000021,FICO,ME2M,按物料显示采购订单
FICO00000022,FICO,ME81N,采购订单价值
FICO00000023,FICO,IDCNAP,应付账龄分析报表-中国
FICO00000024,FICO,IDCNGRIR_GNB,已交货但未开票 
FICO00000025,FICO,MIRO,采购发票校验
FICO00000026,FICO,MIR7,预制采购发票
FICO00000027,FICO,MIR4,显示采购发票
FICO00000028,FICO,MR8M,取消采购发票
FICO00000029,FICO,F-44,付款清账
FICO00000030,FICO,MIGO,显示单个物料凭证
FICO00000031,FICO,MR51,显示物料会计凭证
FICO00000032,FICO,MB5B,记账日期库存的查询
FICO00000033,FICO,MNR9,资产负债表的存货
FICO00000034,FICO,CKM3N,物料价格分析
FICO00000035,FICO,VF05N,销售发票清单
FICO00000036,FICO,VFX3,已冻结发票处理
FICO00000037,FICO,ZFI009,金税发票处理
FICO00000038,FICO,IDCNAR ,应收账龄分析报表-中国
FICO00000039,FICO,AS01,创建资产
FICO00000040,FICO,AS02,修改资产
FICO00000041,FICO,AS03,显示资产
FICO00000042,FICO,AW01N,资产价值浏览器
FICO00000043,FICO,ABAVN,资产报废
FICO00000044,FICO,AFAB,资产折旧运行
FICO00000045,FICO,AFBP,资产折旧日志
FICO00000046,FICO,S_ALR_87011964,按资产类别的报表查询
FICO00000047,FICO,KS01,创建成本中心
FICO00000048,FICO,KS03,查询成本中心
FICO00000049,FICO,KE51,创建利润中心
FICO00000050,FICO,KO01,创建内部订单
FICO00000051,FICO,KO03,显示内部订单
FICO00000052,FICO,OKENN ,显示成本中心层次
FICO00000053,FICO,S_ALR_87013611,成本中心计划与实际对比查询
FICO00000054,FICO,S_ALR_87012997,内部订单按成本要素查询
FICO00000055,FICO,KSH3,显示成本中心组
FICO00000056,FICO,KO88,内部订单单一结算
FICO00000057,FICO,KO8G,内部订单批量结算
FICO00000058,FICO, MM43 ,物料主数据查询
FICO00000059,FICO, CA03 ,工艺路线查询
FICO00000060,FICO,KP26,作业类型价格查询
FICO00000061,FICO,KSU1,创建分摊循环
FICO00000062,FICO,KSU5,执行分摊循环
FICO00000063,FICO,KSV1,创建分配循环
FICO00000064,FICO,KSV5,执行分配循环
FICO00000065,FICO,KSS2,成本中心费用分割
FICO00000066,FICO,KSII ,作业类型价格计算
FICO00000067,FICO,KSBT,作业类型价格报表查询
FICO00000068,FICO,CON2,实际作业类型价格重估订单
FICO00000069,FICO,KKAO ,在制品计算
FICO00000070,FICO,KKS1 ,差异计算
FICO00000071,FICO,CO88 ,生产订单批量结算
FICO00000072,FICO,KO88 ,生产订单单个结算
FICO00000073,FICO,KOC4,订单实际余额
FICO00000074,FICO,CKMLCP,实际成本计算
FICO00000075,FICO,CKMVFM,成本差异未分配差异查询
FICO00000076,FICO,CKM3,实际成本分析
FICO00000077,FICO,KE27 ,重估获利能力分析
FICO00000078,FICO,CK11N ,标准成本单个物料估算
FICO00000079,FICO,CK40N,标准成本批量估算
FICO00000080,FICO,CK24,标准成本标记与发布
FICO00000081,FICO,MMPV ,打开下一物料帐期
FICO00000082,FICO,MMRV,查询当前物料帐期
FICO00000083,FICO,COOIS,生产订单信息系统
FICO00000084,FICO,MB51 ,物料凭证清单
