_id,module,name,desctibe
MM00000001,MM,MM01,创建物料
MM00000002,MM,MM02,更改物料
MM00000003,MM,MM03,显示物料
MM00000004,MM,MM04,显示物料改变凭证
MM00000005,MM,MM06,标记待删除物料
MM00000006,MM,MM17,大量维护
MM00000007,MM,MM60,物料清单
MM00000008,MM,MMAM,改变物料类型
MM00000009,MM,MMSC,汇总条目，库存地点
MM00000010,MM,ME54N,单个审批采购申请
MM00000011,MM,ME55,集中处理采购申请
MM00000012,MM,ME51N,创建采购申请
MM00000013,MM,ME52N,修改采购申请
MM00000014,MM,ME5A,批量显示采购申请
MM00000015,MM,ME53N,显示采购申请
MM00000016,MM,MB31,工单收货
MM00000017,MM,MB1C,其他收货
MM00000018,MM,MB1A,工单发料
MM00000019,MM,MB21,创建预留
MM00000020,MM,MB22,修改预留
MM00000021,MM,MMBE,产看库存总览
MM00000022,MM,CO09,可用性总览
MM00000023,MM,MB51,货物移动清单
MM00000024,MM,MB52,查询所有库存
MM00000025,MM,MC.9,库存分析
MM00000026,MM,MM50,扩充物料视图
MM00000027,MM,XK01,供应商主数据创建
MM00000028,MM,XK02,供应商主数据修改
MM00000029,MM,XK03,供应商主数据显示
MM00000030,MM,XK06,供应商删除标记
MM00000031,MM,XK04,供应商更改记录显示
MM00000032,MM,MKVZ,供应商明细清单
MM00000033,MM,XK99,批量维护
MM00000034,MM,ME11,信息记录创建
MM00000035,MM,ME12,信息记录更改
MM00000036,MM,ME13,信息记录显示
MM00000037,MM,ME14,信息记录更改记录
MM00000038,MM,ME15,信息记录删除标记
MM00000039,MM,ME01,货源清单维护
MM00000040,MM,ME03,货源清单显示
MM00000041,MM,ME04,货源清单更改记录
MM00000042,MM,MEK1,采购条件价格创建
MM00000043,MM,MEK2,采购条件价格修改
MM00000044,MM,MEK3,采购条件价格显示
MM00000045,MM,MEQ1,采购配额
