_id,module,name,desctibe
PP00000001,PP,CS01,创建BOM
PP00000002,PP,CS02,更改BOM
PP00000003,PP,CS03,显示BOM
PP00000004,PP,CS11,显示BOM-逐层
PP00000005,PP,CS12,显示BOM-多层
PP00000006,PP,CS13,显示BOM-汇总
PP00000007,PP,CS15,反查BOM物料
PP00000008,PP,CS14,BOM对比
PP00000009,PP,CS20,批量修改BOM
PP00000010,PP,C223,创建、修改、显示生产版本
PP00000011,PP,C201,创建主配方(工艺路线)
PP00000012,PP,C202,修改主配方(工艺路线)
PP00000013,PP,C203,显示主配方(工艺路线)
PP00000014,PP,CRC1,创建资源(工作中心)
PP00000015,PP,CRC2,修改资源(工作中心)
PP00000016,PP,CRC3,显示资源(工作中心)
PP00000017,PP,CC01,创建更改主记录
PP00000018,PP,CC02,更改变更主档
PP00000019,PP,CC03,显示变更主档
PP00000020,PP,CC07,工程更改管理信息
PP00000021,PP,CEWB,工程工作台
PP00000022,PP,CCUNDO,撤消更改
PP00000023,PP,MD61,建立计划独立需求
PP00000024,PP,MD62,改变计划独立需求
PP00000025,PP,MD63,显示计划独立需求
PP00000026,PP,MD70,复制全部预测
PP00000027,PP,MS64,创建模拟版本
PP00000028,PP,MS65,需求情形
PP00000029,PP,MS66,拷贝模拟相关需求
PP00000030,PP,MF50,月生产计划排程程序
PP00000031,PP,MD01,运行MRP计划-全工厂
PP00000032,PP,MD02,运行MRP计划-单个物料，多层
PP00000033,PP,MD03,运行MRP计划-单个物料，单层
PP00000034,PP,MD04,查看MRP结果
PP00000035,PP,MD07,集中显示MRP结果
PP00000036,PP,MD11,创建计划订单
PP00000037,PP,MD12,改变计划订单
PP00000038,PP,MD13,显示计划订单
PP00000039,PP,MD14,计划订单的个别转换
PP00000040,PP,MD15,计划订单的集中转换
PP00000041,PP,MD16,计划订单的集中显示
PP00000042,PP,COR1,创建生产工单
PP00000043,PP,COR2,修改生产工单
PP00000044,PP,COR3,显示生产工单
PP00000045,PP,COR8,集中转换生产工单
PP00000046,PP,COOISPI,生产工单信息系统
PP00000047,PP,COHVPI,批量处理生产工单信息系统
PP00000048,PP,COR6N,工单报工
PP00000049,PP,CORS,取消工单报工
PP00000050,PP,CORT,查看工单报工情况
