_id,module,name,desctibe
SD00000001,SD,VD01,创建客户主数据
SD00000002,SD,VD02,修改客户主数据
SD00000003,SD,VD03,显示客户主数据
SD00000004,SD,XD05,冻结客户资料
SD00000005,SD,VK11,创建价格记录
SD00000006,SD,VK12,修改价格记录
SD00000007,SD,VK13,显示价格记录
SD00000008,SD,VD51,创建物料信息记录
SD00000009,SD,VD52,修改物料信息记录
SD00000010,SD,VD53,显示物料信息记录
SD00000011,SD,VD59,查询物料信息记录清单
SD00000012,SD,VB01,创建客户物料清单
SD00000013,SD,VB02,修改客户物料清单
SD00000014,SD,VB03,显示客户物料清单
SD00000015,SD,MB03,显示物料凭证
SD00000016,SD,VA11,创建询价单
SD00000017,SD,VA12,修改询价单
SD00000018,SD,VA13,显示询价单
SD00000019,SD,VA21,创建报价单
SD00000020,SD,VA22,修改报价单
SD00000021,SD,VA23,显示报价单
SD00000022,SD,VA01,创建合同执行订单
SD00000023,SD,VA02,修改销售订单
SD00000024,SD,VA03,显示销售订单
SD00000025,SD,VA05,查询销售报表
SD00000026,SD,VA31,创建发货协议
SD00000027,SD,VA32,修改发货协议
SD00000028,SD,VA33,显示发货协议
SD00000029,SD,VA35,查询发货协议报表
SD00000030,SD,VA41,创建供销合同
SD00000031,SD,VA42,修改供销合同
SD00000032,SD,VA43,显示供销合同
SD00000033,SD,VA45,查询供销合同报表
SD00000034,SD,VL01N,创建交货单
SD00000035,SD,VL10C、VL10A,创建交货计划（多张）
SD00000036,SD,VL02N,发货修改过账
SD00000037,SD,VL09,发货操作错误冲销
SD00000038,SD,VL03N,显示交货计划
SD00000039,SD,VL06F,显示交货计划（多张）
SD00000040,SD,LT03,创建转储单
SD00000041,SD,LT21,显示转储单
SD00000042,SD,LT12,确认转储单
SD00000043,SD,VT01,创建发运
SD00000044,SD,VT02,更改运输
SD00000045,SD,VT03,显示运输
SD00000046,SD,VT04,工作清单发运
SD00000047,SD,VF01,创建出具发票凭证
SD00000048,SD,VF02,修改出具发票凭证
SD00000049,SD,VF03,显示出具发票凭证
SD00000050,SD,VF04,处理出具发票到期清单
SD00000051,SD,VF11,取消出具发票凭证
SD00000052,SD,VF21,创建发票清单
SD00000053,SD,VF22,修改发票清单
SD00000054,SD,VF23,显示发票清单
SD00000055,SD,VF27,显示来自档案的发票清单
